LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-2.17,106.13,96237,Stasiun Meteorologi Depati Amir,FM 35,from CIPS,0,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1005,-888888.00000,25.2,23.9,3.1,160,-1.1,2.9,92.5,-888888.00000,
1000,81,25.2,23.8,5.7,155,-2.4,5.2,92,-888888.00000,
975,-888888.00000,-888888.00000,-888888.00000,9.3,130,-7.1,6,-888888.00000,-888888.00000,
973,-888888.00000,25,23.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,90.3,-888888.00000,
963,-888888.00000,24.4,21.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,85.4,-888888.00000,
946,-888888.00000,25,17,-888888.00000,-888888.00000,-888888.00000,-888888.00000,61.2,-888888.00000,
925,769,24.2,14.2,10.8,145,-6.2,8.8,53.6,-888888.00000,
852,-888888.00000,21.6,4.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,32.9,-888888.00000,
850,1502,21.6,3.6,6.7,145,-3.8,5.5,30.7,-888888.00000,
819,-888888.00000,18,12,-888888.00000,-888888.00000,-888888.00000,-888888.00000,68,-888888.00000,
793,-888888.00000,-888888.00000,-888888.00000,4.1,195,1.1,4,-888888.00000,-888888.00000,
788,-888888.00000,15.2,11.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,77.5,-888888.00000,
765,-888888.00000,-888888.00000,-888888.00000,2.6,165,-0.7,2.5,-888888.00000,-888888.00000,
738,-888888.00000,-888888.00000,-888888.00000,4.1,190,0.7,4,-888888.00000,-888888.00000,
724,-888888.00000,12.4,-2.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,35.1,-888888.00000,
700,3151,10.4,-3.6,1.5,105,-1.4,0.4,37.2,-888888.00000,
675,-888888.00000,8.4,-2.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,45.9,-888888.00000,
663,-888888.00000,-888888.00000,-888888.00000,2.6,10,-0.5,-2.6,-888888.00000,-888888.00000,
649,-888888.00000,7,-4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,45.5,-888888.00000,
640,-888888.00000,7,-13,-888888.00000,-888888.00000,-888888.00000,-888888.00000,22.5,-888888.00000,
616,-888888.00000,-888888.00000,-888888.00000,2.6,135,-1.8,1.8,-888888.00000,-888888.00000,
594,-888888.00000,-888888.00000,-888888.00000,3.1,215,1.8,2.5,-888888.00000,-888888.00000,
552,-888888.00000,-888888.00000,-888888.00000,4.6,215,2.6,3.8,-888888.00000,-888888.00000,
546,-888888.00000,0,-21,-888888.00000,-888888.00000,-888888.00000,-888888.00000,18.9,-888888.00000,
511,-888888.00000,-888888.00000,-888888.00000,7.2,145,-4.1,5.9,-888888.00000,-888888.00000,
500,5880,-4.9,-17.9,5.7,135,-4,4,35.4,-888888.00000,
490,-888888.00000,-6.1,-17.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,41.5,-888888.00000,
456,-888888.00000,-8.3,-24.3,10.8,115,-9.8,4.6,26.3,-888888.00000,
405,-888888.00000,-888888.00000,-888888.00000,11.3,110,-10.6,3.9,-888888.00000,-888888.00000,
404,-888888.00000,-15.3,-26.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,38.5,-888888.00000,
400,7600,-15.9,-25.9,12.3,105,-11.9,3.2,42,-888888.00000,
369,-888888.00000,-21.1,-24.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,73.4,-888888.00000,
359,-888888.00000,-888888.00000,-888888.00000,9.3,55,-7.6,-5.3,-888888.00000,-888888.00000,
345,-888888.00000,-888888.00000,-888888.00000,15.4,70,-14.5,-5.3,-888888.00000,-888888.00000,
339,-888888.00000,-24.9,-30.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,57.4,-888888.00000,
328,-888888.00000,-25.3,-39.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,25.9,-888888.00000,
318,-888888.00000,-888888.00000,-888888.00000,23.7,70,-22.3,-8.1,-888888.00000,-888888.00000,
305,-888888.00000,-888888.00000,-888888.00000,27.3,70,-25.7,-9.3,-888888.00000,-888888.00000,
300,9710,-28.7,-47.7,27.3,65,-24.7,-11.5,14.3,-888888.00000,
289,-888888.00000,-29.9,-53.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,7.8,-888888.00000,
280,-888888.00000,-888888.00000,-888888.00000,20.1,75,-19.4,-5.2,-888888.00000,-888888.00000,
250,10990,-38.5,-60.5,18.5,75,-17.9,-4.8,8,-888888.00000,
246,-888888.00000,-888888.00000,-888888.00000,17.5,75,-16.9,-4.5,-888888.00000,-888888.00000,
236,-888888.00000,-888888.00000,-888888.00000,14.9,90,-14.9,0,-888888.00000,-888888.00000,
215,-888888.00000,-888888.00000,-888888.00000,17,90,-17,0,-888888.00000,-888888.00000,
